gene,Rg,Rg_mean,n_pairs_computable,ReproScore,R_self,frac_pairs,empirical_p,evt_p,evt_method,evt_n_exc,evt_xi,evt_gof_p,empirical_FDR,evt_FDR,shuffle_p,shuffle_FDR,shuffle_FDR_low_power,atlas_member,strength_tier
CDC27,0.6788498863779941,0.6724783305036753,6,0.948849104859335,0.6724783305036753,0.6666666666666666,9.99000999000999e-4,9.304740842452086e-4,gpd,250,-0.33919081530902895,0.1,0.023035787741670095,0.02200284932347889,9.99000999000999e-4,0.02200284932347889,FALSE,TRUE,strong
SMARCA2,0.6479271866968384,0.6205076966385665,6,0.9445865302642796,0.6205076966385665,0.5,9.99000999000999e-4,2.726884560141918e-4,gpd,250,-0.380420542341967,0.14,0.023035787741670095,0.010689387475756318,9.99000999000999e-4,0.010689387475756318,FALSE,TRUE,strong
BCL3,0.6152523223463562,0.5994081208337417,6,0.954390451832907,0.5994081208337417,0.8333333333333334,9.99000999000999e-4,2.2250738585072014e-308,gpd,250,-0.43538134153771413,0.96,0.023035787741670095,1.744457905069646e-306,9.99000999000999e-4,1.744457905069646e-306,FALSE,TRUE,strong
NCOA3,0.6130933627306407,0.49713312965650075,6,0.8196930946291561,0.49713312965650075,0.16666666666666666,9.99000999000999e-4,2.9733518914942803e-5,gpd,250,-0.43350175104683686,0.545,0.023035787741670095,0.0019425899024429296,9.99000999000999e-4,0.0019425899024429296,FALSE,TRUE,strong
TYK2,0.610145969920955,0.60183459240557,6,0.9347826086956522,0.60183459240557,0.5,9.99000999000999e-4,4.6288921144947535e-4,gpd,240,-0.40555296151244025,0.14,0.023035787741670095,0.016073428589600793,9.99000999000999e-4,0.016073428589600793,FALSE,TRUE,strong
BIRC3,0.6067691376316475,0.6028253927791571,6,0.93307757885763,0.6028253927791571,0.16666666666666666,9.99000999000999e-4,4.0138416798923826e-5,gpd,250,-0.4473423318349748,0.955,0.023035787741670095,0.0022477513407397343,9.99000999000999e-4,0.0022477513407397343,FALSE,TRUE,strong
FANCL,0.5853067664735994,0.59524341932389,6,0.9398976982097187,0.59524341932389,0.5,0.001998001998001998,0.0011297853700647231,gpd,250,-0.37564022403689656,0.52,0.03263403263403263,0.023201281671274974,0.001998001998001998,0.023201281671274974,FALSE,TRUE,strong
NFKB2,0.5794499621632856,0.5272416223823392,6,0.8840579710144928,0.5272416223823392,0.16666666666666666,0.002997002997002997,7.535868920091338e-4,gpd,250,-0.4133692856995028,0.645,0.03560076287349015,0.02200284932347889,0.002997002997002997,0.02200284932347889,FALSE,TRUE,strong
TRAF2,0.5577567213037933,0.5511401870950985,6,0.9335038363171355,0.5511401870950985,0.8333333333333334,9.99000999000999e-4,2.2250738585072014e-308,gpd,250,-0.4365144160209442,0.99,0.023035787741670095,1.744457905069646e-306,9.99000999000999e-4,1.744457905069646e-306,FALSE,TRUE,strong
MAPK1,0.5393383798654121,0.5252472389406222,6,0.8755328218243819,0.5252472389406222,0.5,0.004995004995004995,0.003782007773152407,gpd,250,-0.4070888959238635,0.575,0.04166046719238209,0.04118186241877066,0.004995004995004995,0.04118186241877066,FALSE,TRUE,strong
