gene	module	Rg	ReproScore
ABI1	1	0.3992994359974703	0.8734015345268542
ACTB	1	0.5211745368820853	0.8942881500426257
ACTG1	1	0.26579917607055914	0.7208013640238704
AFF4	1	0.0038084258722613316	0.5622335890878091
AGO2	1	-0.38284360054020505	0.4151747655583973
AHNAK	2	0.03302810708170354	0.5353793691389599
AJUBA	3	0.3067804294911009	0.6977834612105712
AKAP13	1	0.37931286267752873	0.8231031543052003
AKAP9	2	0.3142404928484269	0.7604433077578858
ANKRD11	1	-0.035892543397378296	0.43861892583120204
APEX1	3	0.1791371861970953	0.5946291560102301
APH1A	2	-0.21352451193807215	0.37894288150042627
ARID1A	2	0.12155635671714324	0.495311167945439
ARID1B	2	0.16901092492695405	0.6743393009377664
ARID2	2	0.42972405983170825	0.9249786871270247
ARID4A	2	-0.07965405551015059	0.5093776641091219
ARID4B	2	0.03779662971146515	0.6065643648763853
ASXL1	1	-0.010713386590372867	0.4458653026427962
ATP2A2	4	0.4536825167580774	0.8572037510656436
ATP6V1B2	2	0.09795546024852118	0.6798806479113384
ATRX	3	0.23585956432715527	0.7442455242966752
AXL	3	0.2350747129371441	0.7003410059676044
BARD1	2	0.28121945140814136	0.7502131287297528
BAX	2	0.044193715686767845	0.561381074168798
BAZ1A	2	0.023565868534133415	0.5707587382779199
BCL10	1	0.3595037148872867	0.7412617220801364
BCL2L1	5	-0.006365317428362004	0.5562659846547314
BCL3	2	0.6152523223463562	0.954390451832907
BCL6	2	0.18225021580224166	0.684995737425405
BIRC3	2	0.6067691376316475	0.93307757885763
BLM	2	0.15827918312371683	0.5959079283887467
BPTF	1	0.2991480696234486	0.7612958226768969
BRAF	2	0.48307692311453865	0.8635976129582268
BRCA1	2	0.202986478205622	0.716538789428815
BRD4	4	0.07702835698049265	0.5754475703324808
BRD7	1	0.13000316956056587	0.5728900255754475
BRD8	3	0.15849274423455523	0.7421142369991475
BRIP1	5	-0.269601317963669	0.32608695652173914
BUB1B	3	0.048240213600033964	0.4803921568627451
CALR	1	0.47354851118219815	0.8452685421994885
CARM1	1	0.49599505404322386	0.8972719522591646
CBFB	1	0.22243953708013328	0.5950554134697358
CCNB2	3	-0.00862548070553619	0.4919011082693947
CCNC	4	-0.04913255310095028	0.4198635976129582
CCND1	1	0.42478025239571715	0.8184143222506394
CD28	1	0.0997801822624393	0.6023017902813299
CDC27	1	0.6788498863779941	0.948849104859335
CDC42	4	0.21316560907078652	0.6675191815856777
CDC73	4	0.27762712968959224	0.6773231031543052
CDH1	1	0.34656953212921626	0.7152600170502984
CDH11	1	0.28150405443470106	0.7770673486786018
CDH2	1	0.28862598255843197	0.6300085251491901
CDK12	1	0.41555291999585586	0.7007672634271099
CDK4	2	0.42566755249763577	0.8277919863597613
CDK8	3	0.48039729704169126	0.8218243819266837
CDKN1A	4	0.08573064623585772	0.6167945439045184
CDKN1B	2	0.44453045952556075	0.8759590792838875
CDKN2A	2	0.07767306011973465	0.6027280477408354
CHD3	3	0.22202698300759455	0.7203751065643649
CHD4	1	0.35564636030559016	0.8456947996589941
CHMP2B	4	0.36211163751586284	0.7647058823529411
CHTF8	5	-0.12360858447438569	0.4198635976129582
CKS1B	3	0.263792326696727	0.7011935208866155
CLIP1	1	0.3766420950632945	0.8115942028985508
CLTC	1	0.3938095156426913	0.6683716965046889
CNOT3	1	-0.04860435396566971	0.39428815004262574
COL1A1	1	0.5260936496633191	0.876385336743393
COL1A2	1	0.5175376282599219	0.9266837169650468
COX6C	1	-0.10567310757279932	0.4177323103154305
